연번,상호,시설주소,시설전화번호,,
261,테디짐PT 서초래미안,"서울특별시 서초구 서초대로65길 13-10, 2층 207호 (서초동, 서초래미안아파트)",,,
262,클래시 휘트니스,"서울특별시 서초구 효령로53길 24, 디아레나 서초 지층 101호 (서초동)",02-2039-3391,,
263,무브케어랩 퍼스널트레이닝,"서울특별시 서초구 동광로 4, 다온빌딩 3층 (방배동)",,,
264,더 퍼스트 피티 스튜디오,"서울특별시 서초구 서초대로51길 22, 명산빌딩 2층 (서초동)",02-3482-1112,,
265,엑스(x)휘트니스,"서울특별시 서초구 양재대로2길 109, 상가동 2층 201호 (우면동, 서초호반써밋)",,,
266,아라핏 스튜디오,"서울특별시 서초구 서초대로78길 30, 3층 (서초동)",,,
267,보리스짐 교대,"서울특별시 서초구 서초중앙로 110, 지하1층 (서초동, 서초동롯데캐슬메디치)",02-584-1113,,
268,펜타핏 주식회사,"서울특별시 서초구 강남대로 349, 우남빌딩 11층 (서초동)",,,
269,크로스핏 강남 반포,"서울특별시 서초구 방배중앙로 204, 리첸시아 지하1층 (방배동)",02-599-5599,,
270,바른자세 Pt짐,"서울특별시 서초구 신반포로23길 41, 4층 404호 (잠원동, 신반포2지구아파트)",,,
